origin_stop_id,dest_stop_id,time_bin_id,is_structural_zero,primary_reason,triggered_rules,feasible,minimum_transfers,minimum_initial_wait_minutes,minimum_journey_time_minutes,feasible_departure_count,earliest_arrival_seconds
BERNEX_HAINARD,CHENE_BOURG_PEILLONNEX,t0830,false,,,true,1,0,38.983333333333334,8,32280
BERNEX_HAINARD,CHENE_BOURG_PLACE_FAVRE,t0700,false,,,true,1,0,36.983333333333334,12,26760
BERNEX_HAINARD,CHENE_BOURG_PLACE_FAVRE,t0730,false,,,true,1,0,38.983333333333334,13,28620
BERNEX_HAINARD,CHENE_BOURG_PLACE_FAVRE,t0800,false,,,true,1,0,38.983333333333334,13,30300
BERNEX_HAINARD,CHENE_BOURG_PLACE_FAVRE,t0830,false,,,true,1,0,37.983333333333334,8,32220
BERNEX_HAINARD,CONFIGNON_CROISEE,t0700,false,,,true,0,0,4.9833333333333334,12,24840
BERNEX_HAINARD,CONFIGNON_CROISEE,t0730,false,,,true,0,0,4.9833333333333334,13,26580
BERNEX_HAINARD,CONFIGNON_CROISEE,t0800,false,,,true,0,0,4.9833333333333334,13,28200
BERNEX_HAINARD,CONFIGNON_CROISEE,t0830,false,,,true,0,0,4.9833333333333334,9,30240
BERNEX_HAINARD,CONFIGNON_LA_DODE,t0700,false,,,true,0,0,6.9833333333333334,12,24960
BERNEX_HAINARD,CONFIGNON_LA_DODE,t0730,false,,,true,0,0,6.9833333333333334,13,26700
BERNEX_HAINARD,CONFIGNON_LA_DODE,t0800,false,,,true,0,0,6.9833333333333334,13,28320
BERNEX_HAINARD,CONFIGNON_LA_DODE,t0830,false,,,true,0,0,6.9833333333333334,9,30300
BERNEX_HAINARD,GENEVE_AMANDOLIER,t0700,false,,,true,1,0,31.983333333333334,12,26460
BERNEX_HAINARD,GENEVE_AMANDOLIER,t0730,false,,,true,1,0,32.983333333333334,13,28260
BERNEX_HAINARD,GENEVE_AMANDOLIER,t0800,false,,,true,1,0,32.983333333333334,13,29940
BERNEX_HAINARD,GENEVE_AMANDOLIER,t0830,false,,,true,1,0,31.983333333333334,8,31860
BERNEX_HAINARD,GENEVE_AUGUSTINS,t0700,false,,,true,1,0,29.983333333333334,12,26340
BERNEX_HAINARD,GENEVE_AUGUSTINS,t0730,false,,,true,1,0,31.983333333333334,13,28200
BERNEX_HAINARD,GENEVE_AUGUSTINS,t0800,false,,,true,1,0,31.983333333333334,13,29940
BERNEX_HAINARD,GENEVE_AUGUSTINS,t0830,false,,,true,1,0,30.983333333333334,9,31860
