method,runtime_seconds,runtime_relative_to_fastest,success,termination,od_mae_active,od_rmse_active,link_flow_mae,link_flow_rmse,link_flow_correlation,estimated_total_demand,coverage_90_active,mean_interval_width_90_active
ML,112.74157616693992,2.7114893716339776,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,6.710850933592366,12.372467334176628,0.06420888595460841,0.23093866725815948,0.9999508319920074,2884.6613369247325,,
MAP,41.579206375055946,1.0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.215090694002697,15.912135865192111,0.08904561591211757,0.28238782983847593,0.9999102140746315,2883.688878335324,,
VI,590.1479801670648,14.193344020176017,True,completed VI schedule,10.657878885704505,16.025658888706356,0.11105196983829022,0.36965241785071795,0.9998068575984342,2903.4573263999328,0.6458333333333334,21.43677270597354
