origin_stop_id,dest_stop_id,time_bin_id,true_flow,estimated_flow,error
GRAND_LANCY_PALETTES,MEYRIN_CERN,t0830,30.0,38.62601534268926,8.626015342689257
LANCY_BACHET_GARE,GENEVE_EAUX_VIVES_GARE,t0700,13.5,24.86580269391256,11.36580269391256
LANCY_BACHET_GARE,GENEVE_EAUX_VIVES_GARE,t0730,24.0,6.017864956232069,-17.982135043767933
LANCY_BACHET_GARE,GENEVE_EAUX_VIVES_GARE,t0800,40.5,19.043715218569957,-21.456284781430043
LANCY_BACHET_GARE,GENEVE_EAUX_VIVES_GARE,t0830,20.25,47.672718824635965,27.422718824635965
LANCY_BACHET_GARE,THONEX_MOILLESULAZ,t0700,35.70000076293945,25.003886226001626,-10.696114536937827
LANCY_BACHET_GARE,THONEX_MOILLESULAZ,t0730,21.25,37.99440414919604,16.744404149196043
LANCY_BACHET_GARE,THONEX_MOILLESULAZ,t0800,13.600000381469727,34.422737433879206,20.82273705240948
LANCY_BACHET_GARE,THONEX_MOILLESULAZ,t0830,32.29999923706055,5.9154202384248595,-26.38457899863569
MEYRIN_CERN,GENEVE_AUGUSTINS,t0700,13.300000190734863,0.9720787517788098,-12.327921438956054
MEYRIN_CERN,GENEVE_AUGUSTINS,t0730,43.70000076293945,37.557527746921636,-6.142473016017817
MEYRIN_CERN,GENEVE_AUGUSTINS,t0800,29.450000762939453,47.16673739410203,17.716736631162576
MEYRIN_CERN,GENEVE_AUGUSTINS,t0830,19.0,18.067320822192308,-0.9326791778076924
MEYRIN_CERN,GRAND_LANCY_PALETTES,t0700,36.75,48.3386535630715,11.588653563071503
MEYRIN_CERN,GRAND_LANCY_PALETTES,t0730,18.899999618530273,26.20785337417622,7.307853755645947
MEYRIN_CERN,GRAND_LANCY_PALETTES,t0800,46.20000076293945,28.65799759025943,-17.542003172680023
MEYRIN_CERN,GRAND_LANCY_PALETTES,t0830,25.200000762939453,26.046365182508257,0.846364419568804
MEYRIN_GRAVIERE,BERNEX_VAILLY,t0700,20.700000762939453,26.34229552078619,5.642294757846738
MEYRIN_GRAVIERE,BERNEX_VAILLY,t0730,36.79999923706055,25.525707022357967,-11.27429221470258
